Unnamed: 0,pagination,article_text,header,date,author,hashtag,link,Adress,Article_summary,Name,Adress_clean,lat,lon,pros_and_cons,pros,cons,rating,score
269,41,"В необистро Hands (Погодинская, 2) сосредоточенно готовят по авторским рецептам шеф-повара Вячеслава Казакова, а он в свою очередь ставит знак равенства между определениями «уважение к людям» и «уважение к продуктам».

Плюсы:
— простая и легкая атмосфера, которая одинаково нравится и вечно озабоченным домохозяйкам, и строгим начальницам больших проектов. Все бежевое, но не противное;
— столовые приборы спрятаны в столах, как дома на кухне. Выдвигайте ящик, они там;
— комплиментарный хлеб ремесленного производства (твердая корочка, ноздристый мякиш) подается с анчоусным маслом, а на масле — кубики лаймового желе. Этот набор настолько хорош, что можно забыть, зачем пришел;
— закуска с розово-сочными ломтиками ростбифа из пряного мяса ягненка (570 руб.) отлично дополнена тхиной и изумрудно-терпким эстрагоном. Крупные каперсы тут тоже на почетном месте;
— тыквенный суп (460 руб.) варят на сидре;
— классический пухлый круассан с лососем за 390 руб. в отличие от всех остальных подобных круассанов в нашем городе не страдает от избытка сливочного сыра.
Минусы:
— слегка солоноватый тартар из лосося теряется в пряно-сладковатом тыквенном супе;
— при всей внутренней сложности каждого блюда еда в Hands может показаться слишком простой для человека, вскормленного стандартными пашотом с авокадо и шакшукой.
Фото: @handsrestaurantmoscow","Hands кажется слишком простым, но именно такой сложной простоты не хватает в Москве",2020-11-18,Светлана Кесоян,"['нео-бистро Hands', 'Погодинская 2']",https://moskvichmag.ru/restorany-i-bary/hands-mozhet-pokazatsya-slishkom-prostym-no-imenno-takoj-slozhnoj-prostoty-ne-hvataet-v-moskve/,"Москва, Погодинская, 2","Ресторан Hands предлагает авторские рецепты шеф-повара Вячеслава Казакова, которые отличаются уважением к продуктам и людям. В заведении простая и легкая атмосфера, а столовые приборы спрятаны в столах. Плюсы включают комплиментарный хлеб ремесленного производства, закуску с ростбифом из пряного мяса ягненка, тыквенный суп, приготовленный на сидре, и классический круассан с лососем.","Ресторан ""Hands""","г Москва, ул Погодинская, д 2",55.7355323,37.5721119,"(6, 2)",6,2,66.67,8
270,41,"В Satoshi wine bistro (М. Козихинский пер., 10/1) играет веселый фанк восьмидесятых и работает шеф Виталий Сон, ранее служивший в «Недальнем Востоке» и «Джусто». Местные роллы и гедза демпингуют цены Патриарших прудов и крутятся для тех, кто не хочет пробовать ничего нового.

Плюсы:
— чукка-салат с зеленым яблоком стоит всего 350 руб. Это кажется запредельной дешевизной;
— бокал белого итальянского может уйти в ваши руки за 320 руб. Бокал красного из Австралии тоже не прыгает выше этой отметки;
— сашими из гребешка (480 руб.) проложено кружками лимона, что вместе с соевым соусом существенно улучшает вкус;
— эластичные «шнурки» коричневой гречневой лапши классическим образом смешаны с морковкой и зеленым луком. Язык не поворачивается назвать этот вок с курицей гениальным. Но за четыре сотни с хвостиком каждый из нас получает тарелку с полноценным горячим обедом;
— к каждому блюду гигиенично приносят новый соевый соус;
— суши с омлетом (120 руб.) — это своеобразный наглядный пример из учебника про форму и содержание японских омлетов. Тугой солоновато-сладковатый сверток с четким всполохом нори.
Минусы:
— слишком заезженные десерты (моджи, чизкейк с матчей, меренговый рулет);
— скучная и слишком гладкая еда на каждый день.
Фото: @satoshi.moscow","Суши и лапша в Satoshi могут показаться скучноватыми, но какие тут цены для Патриарших!",2020-11-23,Светлана Кесоян,"['Satoshi', 'Виталий Сон', 'Малый Козихинский переулок']",https://moskvichmag.ru/restorany-i-bary/sushi-i-lapsha-v-satoshi-mogut-pokazatsya-skuchnovatymi-no-kakie-tut-tseny-dlya-patriarshih/,"Москва, Козихинский пер., 10/1","В Satoshi wine bistro подают разнообразные блюда, в том числе роллы, гедза и сашими. Цены на блюда невысокие, а порции большие. Однако десерты могут показаться заезженными, а еда на каждый день скучной.","Бистро ""Satoshi wine bistro""","г Москва, пер Козихинский М., д 10 стр 1",55.7643132,37.5964871,"(6, 2)",6,2,66.67,7
271,41,"В помещении ресторана «Простые вещи» на Б. Никитской, 14/2, открылся тапас-бар «ВИНОват эклер!», где вместо испанских тапасов готовят французские эклеры.
Команда «Простых вещей» во главе с ресторатором Ириной Ходзинской предлагает сыграть в новую игру — буквально кинуть жребий. Официант принесет вам кости, и по выброшенному числу каждый посетитель заказывает вино и эклер к нему. Пары «вино–эклер» заранее пронумерованы и подобраны так, чтобы получить максимально гармоничное сочетание напитка и легкой закуски.
Плюсы:
— кости можно не бросать, и вино вас никто пить не заставляет, но эклеры стоят того, чтобы их распробовать. В меню 11 пирожных с фантазийными, несладкими начинками и одна «эклеровая ром-баба, пропитанная светлым ромом, с фисташковым кремом и с ромовым мороженым»;
— эклер с татаки из говяжьего сердца, попкорном из амаранта и трюфельной пастой (350 руб.) демонстрирует соблазнительную комбинацию мясной плоти и трюфельного духа. Солоноватый амарант действительно крут;
— у ромовой бабы (480 руб.) отталкивающий внешний вид, да и ромовое мороженое слишком проспиртовано. Но сладковатая горечь этого десерта вызовет интерес у любого, кто ценит новые вкусовые ощущения, да и фисташковый крем тут очень кстати;
 
— если вам неохота пускаться в приключения с эклерами, меню «Простых вещей» продолжает действовать как ни в чем не бывало.
Минусы:
— не так-то просто сидеть в подвале «Простых вещей», в котором приходится томиться до лета, когда во дворе, как всегда, откроется терраса. Хотя за многие годы завсегдатаи привыкли к тесноте и мерцающим сигналам мобильной связи;
— к каждой комбинации вина и эклера в меню записана игривая цитата. Эти шутки выглядят надрывно;
— эклер с фуа-гра и угрем стоит 590 руб. и сопровождается фразой «Угораем мы с угрем, заедая фуагрем». Соленый угорь убивает все остальные ингредиенты;
— эклер с севиче из гребешка (390 руб.) разваливается после первого укуса. Заявленный мандариновый крем едва уловим. Нелогичное горькое послевкусие.
Фото: @prostyeveschi",В тапас-баре «ВИНОват эклер!» есть эклеры с фуа-гра и угрем и с татаки из говяжьего сердца,2020-11-25,Светлана Кесоян,"['Виноват эклер!', 'Ирина Ходзинская', 'Простые вещи', 'тапас-бар']",https://moskvichmag.ru/restorany-i-bary/v-tapas-bare-vinovat-ekler-est-eklery-s-fua-gra-i-ugrem-i-s-tataki-iz-govyazhego-serdtsa/,"Москва, Б. Никитская, 14/2","Тапас-бар «ВИНОват эклер!» предлагает посетителям сыграть в игру, выбрасывая кости и заказывая вино и эклер по выброшенному числу. В меню представлено 11 пирожных с несладкими начинками и одна ""эклеровая ром-баба"". Эклеры можно заказать отдельно, без вина.","Тапас-бар ""ВИНОват эклер!""","г Москва, ул Большая Никитская, д 14/2",55.7570643,37.6062847,"(4, 4)",4,4,40.0,7
272,41,"В кофейне Fl/p (Милютинский пер., 3), повернутой на экологии, придумали новый тип чайных купажей (три шутки) и назвали их Sticky. Первую пробу можно снять прямо в кофейне (360 руб.), и если понравится, то купить заварку домой (100 г/1250 руб.), а биоразлагаемая банка поможет вам почувствовать себя неочеловеком.

Плюсы:
— основа Sticky Spicy Tea — черный индийский чай (явно из тех, что при царе Горохе были «со слоником»). Новая рецептура предполагает процедуру пропитывания вязкими, тягучими веществами (нектарами или медом). Влажная структура помогает специям, фруктовым или цветочным добавкам прилипнуть к чаю как банный лист. В случае со Spicy Tea в процессе участвуют нектар агавы, антисептическая куркума, гвоздика, анис, кардамон и корица. Этот чай пахнет волшебством и Новым годом. А на вкус он как имбирное печенье;
— Sticky Lemon Pie приготовлен с сиропом агавы. Лимонная цедра и лемонграсс сообщают сладковатому от природы гречишному чаю звонкие цитрусовые ноты. Цветы жасмина тут явно ради травянистого баланса. Вкус и аромат же напоминает не лимонный пирог, а скорее фейхоа из окрестностей Красной Поляны;
— В черный Sticky Black Honey Tea кроме кардамона и гвоздики добавлены бурбонская ваниль и черный перец. Пропитанная акациевым медом очень симпатичная композиция согревает душу в два счета. Этот чай разумно заваривать горячим молоком в стиле индийского масала»;
— сотрудники кофейни работают с посетителями как настоящие чайные сомелье;
— одновременно со Sticky Tea в FL/P появились новые десерты, и, на мой взгляд, самый удачный из них — тирамису (390 руб.). Пахнет горьким шоколадом. Взбитые сливки и в меру сладкий бисквит. Тирамису, как и все остальные десерты, продается в банках (удобно смешивать все слои одним движением ложки — так в сто раз вкуснее, чем медленно смаковать слой за слоем).
Минусы:
— по идее, кисловатый крем из черной смородины (в десерте с одноименным названием за 410 руб.) должен уравновешивать бешеное содержание шоколада, но он этого делать не хочет;
— высокие цены.
Фото: flip.company",Черный Sticky Spicy Tea из кофейни Fl/p пахнет волшебством и Новым годом,2020-11-30,Светлана Кесоян,"['Sticky Spicy Tea', 'кофейня FL/P']",https://moskvichmag.ru/restorany-i-bary/chernyj-sticky-spicy-tea-iz-kofejni-fl-p-pahnet-volshebstvom-i-novym-godom/,"Москва, Милютинский пер., 3","Краткое резюме отзыва:

Кофейня Fl/p представляет новый тип чайных купажей под названием Sticky. В меню представлены три вида чая: Sticky Spicy Tea, Sticky Lemon Pie и Sticky Black Honey Tea. Каждый чай имеет уникальный состав и аромат. Кроме того, в кофейне появились новые десерты, включая тирамису, который особенно понравился автору отзыва.","Кофейня ""Fl/p""","г Москва, пер Милютинский, д 3",55.7616245,37.6314536,"(5, 2)",5,2,62.5,8
273,41,"В «Честной кухне» (Садовая-Черногрязская, 10/25) сварили суп из бобра в качестве сезонного и явно охотничьего предложения. Другие специальные блюда — строганина из чира, стейки из черноморского калкана или жареный сыр халуми — звучат не так зловеще.

Плюсы:
— смотришь на тарелку и понимаешь, что через секунду станешь вегетарианцем. В одно мгновение и на всю жизнь;
— а других плюсов нет.
Минусы:
— искренне была уверена, что бобры занесены в Красную книгу, но оказалось, что нет. Кроме того, бобров, оказывается, выращивают на специальных фермах;
— в названии супа фигурирует определение «сырный». Надеюсь, обошлось без плавленой «Дружбы»;
— в тарелке наблюдается молочно-желтая жижа со странным рыбным привкусом. Теоретически это крем-суп. На поверхности бульона плавает зеленый лук;
— кусочки мяса бобра больше всего похожи на говядину из борща в школьных столовых: та же плотная биомасса. Ужас, да;
— очень жалко бобра;
— бобра жалко втройне еще и потому, что суп с ним сварен по абсолютно бессмысленному рецепту;
— по агентурным данным, прежде чем запустить мясо в кастрюлю, жертву сначала томят, далее коптят и только потом варят. «Молчание бобров» – нет такого фильма?
— суп стоит 520 руб.;
— в ресторане «Честная кухня» любят готовить из отечественных продуктов, но случай с бобром не лезет ни в какие ворота. Не знаю как для вас, но для меня сварить бобра — это все равно что запустить в кастрюлю Чебурашку со всеми сопутствующими мультипликационными и сказочными историями;
— если хочется привлечь посетителей чем-то диким, то вот кабаны, например, все еще бегают по лесам и долам;
— куда смотрят защитники животных из Greenpeace?
— по соображениям цензуры не могу опубликовать видео в момент пробы первой ложки.
Фото: предоставлено рестораном «Честная кухня»",В «Честной кухне» для особо черствых готовят суп из бобра,2020-12-02,Светлана Кесоян,"['суп из бобра', 'Честная кухня']",https://moskvichmag.ru/restorany-i-bary/v-chestnoj-kuhne-dlya-osobo-cherstvyh-gotovyat-sup-iz-bobra/,"Москва, Садовая-Черногрязская, 10/25","В ресторане ""Честная кухня"" есть суп из бобра, который вызвал негативную реакцию у посетителя. Суп был приготовлен из мяса бобра, которое было сварено по особому рецепту, но получилось неаппетитным и дорогостоящим. Посетитель был разочарован выбором ингредиентов и приготовлением блюда.","Ресторан ""Честная кухня""","г Москва, ул Садовая-Черногрязская, д 10/25",55.766825,37.651645,"(2, 12)",2,12,10.0,2
274,40,"В кофейне Stim (Спартаковская пл., 16/15, стр. 4) докрутили до абсолюта вечную московскую страсть к сырникам. Каждый из десяти завтраков назван в честь героев сериалов. Большая часть тарелок посвящена «Друзьям».

Плюсы:
— сырники «Росс» подаются на тарелке с надписью Love is all you need. Пахнет кокосовым орехом, то есть мультипликационным курортом Баунти. Миндаль превращает нашего старого знакомого в принца на белом коне, никак не меньше. Удачные пышные сырники с золотистой корочкой гарантированно приподнимают настроение даже самому безнадежному утру;
— богемные сырники «Фиби» сделаны из тофу и банана. Шелковистое нутро и сплошная творческая нежность;
— подчеркнуто не сладкое, солоноватое тесто для «Чендлера» замешивают с сыром и пряными травами. Приятная щекотка носа и языка от тимьяна и розмарина;
— К «Монике» добавлен кремовый сыр. Сырники засыпаны фундуком и подаются и со сгущенкой, и со сметаной — все сразу. Ешь и чувствуешь себя царицей горы (как минимум), а как максимум — маминым лимонным пирогом;
— все сырники стоят по 350 руб., в порции их три штуки;
— сырники подаются на специальных заказных тарелках с английскими фразами. У производителей этой посуды раньше были отличные тарелки со словом Pizdets. В Stim они мне на глаза не попадались;
— кроме «Друзей» в сырниках замечены: Шарлотта из «Секса в большом городе», Уолтер из «Во все тяжкие», Одри из «Твин Пикса», Барни из «Как я встретил вашу маму» и Сабрина из «Сабрины». Голубой сыр, шоколадная крошка печенья орео, маковые зерна, малина и даже вяленые томаты — все это там есть, и пропорции везде удачные.
Минусы:
— если перестать восторгаться остроумным подходом, то очень быстро становится понятно, что все сырники Stim одинаковые. Разница только в ореховых присыпках, соусах и прочих маленьких добавках;
— никогда не думала, что доктор Хаус сможет трансформироваться в московские сырники. Теперь приходится с этим жить.
Фото: vk.com/stimcoffeehome",«Росс» или «Моника»? В Stim готовят сырники с именами сериальных героев,2020-12-07,Светлана Кесоян,"['завтраки в честь героев сериалов', 'кофейня Stim', 'Спартаковская площадь', 'сырники']",https://moskvichmag.ru/restorany-i-bary/ross-ili-monika-v-stim-gotovyat-syrniki-s-imenami-serialnyh-geroev/,"Москва, Спартаковская пл., 16/15, стр. 4","В кофейне Stim можно найти интересные и вкусные сырники, которые названы в честь героев сериалов. Плюсы: сырники имеют разные вкусы и добавки, такие как миндаль, банан, сыр и пряные травы. Однако минусом является то, что все сырники одинаковые, разница только в ореховых присыпках, соусах и прочих добавках.","Кофейня ""Stim""","г Москва, пл Спартаковская, д 16/15 стр 4",55.776032,37.6781196,"(7, 2)",7,2,70.0,7
275,40,"Кафе Eggsellent (Б. Садовая, 5, корп. 1) специализируется на яйцах и завтраках. Предприятие открыло ООО «Девушки с яйцами», точнее «Креативная кулинарная группировка», которая вот уже три года готовит завтраки в Москве и Петербурге. Фестивали, конкурсы, корнеры, гастроли — и вот теперь свое кафе на Маяковской.

Плюсы:
— максимально наглядное меню — в нем попадается нарядный «супер-люкс бутерброд» (600 руб.) со слабосоленым лососем, парой яиц пашот и гуакамоле. Ироничный сленг и самое востребованное в Москве сочетание продуктов;
— яйца готовят только раскрученными способами: глазунья, скрэмбл, омлет, пашот;
— самый скромный завтрак-конструктор (два яйца, поджаренный тост, сливочный сыр и салат) стоит 250 руб., но к нему предлагается вереница добавок за дополнительные деньги (50–250 руб.);
— любимчик публики — трюфельно-апельсиновый бенедикт (550 руб.), а все потому, что соус голландез взбит с апельсиновым соком и пахнет трюфельным маслом. А наши вечные друзья пашоты с лососем возлежат на румяной теплой бриоши. Попробуйте наколоть на вилку сразу все ингредиенты — получится потрясающе уютный эффект;
— завтрак с «Криминальными панкейками» (450 руб.) на самом деле не такой уж и опасный. Немножко бекона, кленовый сироп и сливочное масло с бурбоном? Нас невозможно запугать сладким жиром;
— к панкейкам полагаются две аккуратные, тонко поджаренные глазуньи;
— оптимистичные розово-желтые интерьеры;
— четко просчитанное время работы (8.00–17.00) поддерживает завтрачный ажиотаж;
— идеально прожаренный бекон.
Минусы:
— очередь в любой день недели;
— словосочетание «спешлы месяца» реально — дичь, и письменная, и устная;
— отделаться минимальным завтраком за 250 руб. никак не получится. Будьте готовы потратить 500 — это психологический минимум.
Фото: facebook.com/eggsellent.moscow",ООО «Девушки с яйцами» приглашает на шумный яркий завтрак в Eggsellent,2020-12-09,Светлана Кесоян,"['Большая Садовая', 'Кафе Eggsellent']",https://moskvichmag.ru/restorany-i-bary/ooo-devushki-s-yajtsami-priglashaet-na-shumnyj-yarkij-zavtrak-v-eggsellent/,"Москва, Б. Садовая, 5, корп. 1","Кафе Eggsellent предлагает разнообразные завтраки и блюда из яиц, с интересными сочетаниями продуктов и презентацией. Меню включает в себя различные варианты, от скромных завтраков до более изысканных блюд. Однако, есть некоторые минусы, такие как очередь в любой день недели и высокая цена некоторых блюд.","Кафе ""Eggsellent""","г Москва, ул Большая Садовая, д 5 к 1",55.769211,37.591793,"(9, 3)",9,3,66.67,8
276,40,"Ресторан «Mollusca Депо» (Лесная, 20) в приготовлении мидий руководствуется сотней рецептов (не меньше). И все было бы хорошо, пока кому-то не пришло в голову приготовить мидии с конфетами M&M’s.

Плюсы:
— к мидиям автоматически выдается багет. Можно зажевать это безобразие хлебом;
— для полноценного рассказа необходим русский мат.
Минусы:
— мидии в розоватом соусе из бельгийского шоколада со сливками и морской водой пахнут бананом;
— полкило стоит 900 руб.;
— вкус животного белка в шоколаде — совсем не сало в шоколаде;
— шоколадно-банановые настроения с ужасным рыбным привкусом;
— делайте что угодно, но не заказывайте эти мидии на дом. То, что к вам приедет в пакете, не лезет ни в какие ворота и ни в какие рты. Мешок с моллюсками похож на нечто уже съеденное. На этом фоне особенно красноречиво выглядит банан в своем первозданном виде, то есть в кожуре. Самообслуживание на дому предполагает, что потребитель сам очистит банан, порежет его и смешает с основной «заготовкой»;
— лучше всего просто съесть банан и забыть про потраченные девять сотен;
— кроме перечисленного к вам приедет холодная картошка фри (много). Ее надо выбросить;
— в ресторане мидии засыпаны красным, желтым, синим и зеленым шоколадным драже M&M’s — страшная дичь, но, может быть, кто-то просто обалдеет от этого безумия;
— если закажете на дом, конфеты будут в стандартной желтой упаковке M&M’s. Вместе с бананом истерически смешная комплектация.
Фото: @mollusca.depo",Мы вас предупредили: не заказывайте в «Mollusca Депо» мидии с конфетами M&M’s,2020-12-11,Светлана Кесоян,['Mollusca Депо'],https://moskvichmag.ru/restorany-i-bary/my-vas-predupredili-ne-zakazyvajte-v-mollusca-depo-midii-s-konfetami-mms/,"Москва, Лесная, 20","В ресторане ""Mollusca Депо"" предлагают необычные блюда, такие как мидии с конфетами M&M's. Однако, по мнению автора отзыва, это блюдо оказалось неудачным, с неприятным вкусом и запахом. Кроме того, цена на это блюдо кажется завышенной.","Ресторан ""Mollusca Депо""","г Москва, ул Лесная, д 20",55.7797462,37.590714,"(2, 9)",2,9,12.9,2
277,40,"Новый ресторан азиатской кухни с гонконгским подходом Koji (Калашный пер., 9) открыт под предводительством бренд-шефа Глена Баллиса. Отдельное меню дим-самов. В стартерах замечена китайская лепешка с зеленым луком. А камчатского краба подают в соусе с черным перцем и просят за него без малого 2000 рублей.

Плюсы:
— публика пищит от восторга при виде осидзуси и правильно делает. Техника прессованных суши, приготовленных в специальной коробочке (осибако), позволяет эффектно и сразу организовать очень большую порцию. Осидзуси с лососем (10 шт.) стоит 900 руб., а с тунцом — 1900 руб.;
— если вам надо отметиться в очень модном месте или, ладно, понаблюдать за жителями Патриарших в состоянии ажитации, то выхода нет, придется бронировать стол;
— «Цыпленок кимчи» (700 руб.) золотист, сочен и превосходно сочетается со сладко-острыми треугольниками ананаса. Капуста и ананас — в отдельных плошках. Безупречно;
— осидзуси может похвастаться приличным лососем и грамотно заправленным рисом;
— если вдруг в осидзуси встретится частичка осибако (щепка-заноза-деревяшка), то извинениям не будет предела и блюдо исключат из счета;
— интересная еда, так обычно готовят для европейцев в экспатских ресторанах Юго-Восточной Азии.
Минусы:
— нелегкая судьба ждет тех, кто решился сделать бронь «на одного». Ни при каких обстоятельствах вас не посадят за нормальный стол. Надо будет есть за стойкой, а это не самое удобное место;
— ни о каком соблюдении дистанции в Koji речь не идет;
— дорого, но это никого из присутствующих не смущает;
— слишком долго готовят основные горячие блюда (минимум 25 минут).
Фото: facebook.com/kojirestaurantbar",В новом Koji стоит брать «цыпленка кимчи» и прессованные суши,2020-12-14,Светлана Кесоян,"['Koji', 'Глен Баллис', 'Калашный переулок']",https://moskvichmag.ru/restorany-i-bary/v-novom-koji-stoit-brat-tsyplenka-kimchi-i-pressovannye-sushi/,"Москва, Калашный пер., 9","В ресторане Koji подают азиатскую кухню с гонконгским подходом, есть отдельное меню дим-самов. Публика любит осидзуси, приготовленные в специальной коробочке, и цыпленка кимчи. Однако есть минусы: бронь ""на одного"" может привести к месту за стойкой, не соблюдают дистанцию, цены высокие, и приготовление основных блюд занимает минимум 25 минут.","Ресторан ""Koji""","г Москва, пер Калашный, д 9",55.7569132,37.5996371,"(6, 4)",6,4,50.0,7
278,40,"В ресторане Sybarite (Садовая-Самотечная, 20, стр. 1) все немножко ломится от переизбытка. Тьма женщин и японских устриц. Салаты то с манго, то с брискетом. В «Царскую» уху кладут «уголек». А в хоспере жарят все подряд, от авокадо с бататом до стейка «Томагавк».

Плюсы:
— деликатный вкус крем-супа из кукурузы с крабом и огурцом (650 руб.). Редиска там тоже хрустит, и это совсем не страшно;
— пышный «Марокканский чай» (490 руб.), где все по русским правилам: и пучок свежей мяты, и лимон, и палочки корицы, и бадьян;
— дневная скидка составляет 20%;
— исключительно женская аудитория со здоровым аппетитом;
— симпатичная обстановка нового ресторана, в котором все с иголочки и приятный цвет стен.
Минусы:
— расползающийся во все стороны паштет из кролика (450 руб.) украшен малиной. Кислые ягоды еще больше подчеркивают весь холод паштета;
— к начинке кукурузного супа с крабом очень важно, в присутствии клиента, выливают собственно сам суп из чайника, и это смешно. Суп все равно чуть теплый;
— чай предлагается пить из нарядных бокалов для воды, что, естественно, не преступление, но очень странное занятие. Бокалы на ножках;
— Новый год к нам мчится изо всех сил, но, пожалуйста, уберите со столов хотя бы половину елочных украшений. Во-первых, неудобно есть, а во-вторых, есть ощущение, что тебя забыли на детской елке в Барвихе;
— в карте напитков обнаружена глава «Согревающие чаи» с облепихово-имбирным и прочими ягодными делами. Глава про обычный чай тоже есть. У меня вопрос: рядовые «Ассам» или «Жасминовый» — все? Морозят?
— посреди оживленного благолепия со звоном приборов внезапно раздается звук перфоратора. А беруши не раздают.
Фото: предоставлено рестораном Sybarite",Sybarite — идеальное место для женщины с хорошим аппетитом,2020-12-18,Светлана Кесоян,"['Sybarite', 'Садовая-Самотечная']",https://moskvichmag.ru/restorany-i-bary/sybarite-idealnoe-mesto-dlya-zhenshhiny-s-horoshim-appetitom/,"Москва, Садовая-Самотечная, 20, стр. 1","Ресторан Sybarite отличается изысканной обстановкой и разнообразным меню. Однако в некоторых блюдах чувствуется переизбыток ингредиентов, а сервис оставляет желать лучшего.","Ресторан ""Sybarite""","г Москва, ул Садовая-Самотёчная, д 20 стр 1",55.7732779,37.6195116,"(5, 6)",5,6,35.71,6
279,40,"Wrap Kebab (Маросейка, 4/2, стр. 1), открытый ресторатором Эдуардом Стерликовым («Настоящие французы», Jis Asian Bistro), лишний раз доказывает, что громкие заявления о «гурманском» подходе к уличной еде — еще один московский мираж.

Плюсы:
— на выбор три варианта лепешек (со шпинатом, бездрожжевая и обычная пшеничная);
— любое блюдо (девять рапов, большинство из них с курицей) могут приготовить без лепешки, но с рисом или с листьями салата;
— гастрономический подход к блюдам Wrap Kebab относится к теории, но хорошо, что хоть пообещали;
— кебаб из говядины №9 (350 руб.) с печеными овощами без лепешки зауряден, но годится для перекуса голодному человеку.
Минусы:
— фирменные лепешки на поверку оказываются обычным лавашом;
— к роллам выдают вилки и ножи (видимо, для отщепенцев);
— дешево, но после первой пробы совсем не хочется тратить деньги на подобную ерунду;
— после кебаба №8 (270 руб., треть свободна от начинки) с пряной курицей зеленоватого оттенка (надеюсь, из-за соуса карри) хочется как можно быстрее наесться честной привокзальной шаурмы;
— салат с авокадо, томатами и салатом айсберг — удивительно безликий набор холодных продуктов;
— за соусы надо доплачивать 50 рублей.
Фото: @wrapkebab",В Wrap Kebab напрасно мечтают поженить «гурмэ» и стритфуд,2020-12-21,Светлана Кесоян,"['Wrap Kebab', 'Маросейка']",https://moskvichmag.ru/restorany-i-bary/v-wrap-kebab-naprasno-mechtayut-pozhenit-gurme-i-stritfud/,"Москва, Маросейка, 4/2, стр. 1","В Wrap Kebab есть варианты лепешек и возможность приготовить блюда без лепешки. Однако лепешки оказались обычным лавашом, а кебабы не впечатлили. Несмотря на низкие цены, качество блюд оставляет желать лучшего.","Кафе ""Wrap Kebab""","г Москва, ул Маросейка, д 4/2 стр 1",55.7573543,37.6337045,"(4, 6)",4,6,30.77,3
280,40,"Парижская сеть кондитерских Laduree, успешно растиражированная по всему миру и известная каждому сладкоежке по миндальным пирожным макарон, выбрала свой особый, русский путь и объединилась с компанией Александра Раппопорта.
В результате ресторан Laduree на Никольской, 5/1, приобрел новое название Laduree a-la Russe и чудесные декорации по мотивам эскизов Льва Бакста к «Русским сезонам» Сергея Дягилева. А в меню появились борщ с гранатовым соком и бриошь со вкусом «Бородинского».
Плюсы:
— за сладкую часть программы отвечает французская сторона. Засахаренные фиалки и прочие прелести пастельных оттенков по-прежнему на почетном месте;
— завтраками кормят весь день, и сейчас самое подходящее время съесть французский тост с фуа-гра и с конфитюром из персиков (880 руб.) или тосты с малиной и розой (750 руб.). Во-первых, фуа-гра абсолютно сезонное рождественское угощение, а во-вторых, в этом декабре мы все заслужили право на беспардонное баловство;
— с бородинской бриошью логично подают балтийскую сельдь. И ведь никто не мог предположить в 1812-м подобного французско-русского хлебного переплетения;
— борщ с гранатовым соком стоит 580 руб. и пахнет маминым борщом;
— пельмени с перепелкой (560 руб.) — отличная дорогая версия повседневного русского фетиша. Выразительный соус с фуа-гра и освежающая кислинка шариков клюквы;
— торт «Мария-Антуанетта» со вкусом черной смородины и фиалок рассчитан на двоих и стоит 1500 руб. Советую присмотреться и распробовать, так как лучшего съедобного маленького подарка в нашем городе не найти;
— на пышных креслах в Laduree a-la Russe обедают нарядные благополучные люди;
— как только к нам начнут пускать туристов, их точно надо будет тащить на Никольскую и кормить капустой провансаль с мочеными фруктами.
Минусы:
— мне не досталось пирожков с мраморной говядиной по 50 руб. Они, видите ли, закончились. Но все-таки хотелось бы посмотреть в лицо людям, которые их сожрали. Присылайте свои фотографии в редакцию;
— упомянутый борщ на вкус оказался самым обычным городским борщом из казенного дома.
Фото: предоставлено агентством «Аппетитный маркетинг»",Декабрь — самое время для тоста с фуа-гра под репродукциями Бакста в Laduree a-la Russe,2020-12-22,Светлана Кесоян,['Ladurée à-la Russe'],https://moskvichmag.ru/restorany-i-bary/dekabr-samoe-vremya-dlya-tosta-s-fua-gra-pod-reproduktsiyami-baksta-v-laduree-a-la-russe/,"Москва, Никольская, 5/1","Заведение Laduree a-la Russe представляет собой уникальное сочетание французской и русской кухни, с интересными блюдами, такими как борщ с гранатовым соком и бриошь со вкусом «Бородинского». Ресторан также предлагает французские завтраки весь день, а его сладкая часть меню остается верной французской традиции. Однако есть и минусы, такие как отсутствие некоторых блюд и обычный вкус борща.","Ресторан ""Laduree a-la Russe""","г Москва, ул Никольская, д 5/1",55.7559002,37.6193017,"(8, 2)",8,2,72.73,8
